Profilerstellung eines Magnetfeldes
Datum: 2022_03_04

Version: v3.0-52-g9982156-dirty

Experiment Aufbau:
------------------
Versorgung Hall-Sensor von Keithley - 2450 Sourcemeter
Magnetfeld aus - U_Hall:     2.0043 mV
Versorgungsspannung:         5 V
Strom-Limit:                 200 mA

Gerät für die Messung:       KEITHLEY INSTRUMENTS,MODEL DAQ6510,04463273,1.0.04b
Ort der Messung:             Test-CZ
Startposition:               Mitte - 11.5 cm über Boden - Abwärts bis 3.5 cm
Geschwindigkeit Geradlinig:  10 mm/min
Geschwindigkeit Rotation:    0/min

Zeit [s]            Weg [mm]            Magnetische Flussdichte [mT]            
0.500000            114.916667          1.595909                                
7.000000            113.833333          1.601209                                
8.700000            113.550000          1.603985                                
10.400000           113.266667          1.614886                                
12.100000           112.983333          1.617056                                
13.800000           112.700000          1.624980                                
15.500000           112.416667          1.643705                                
17.100000           112.150000          1.631037                                
18.700000           111.883333          1.637194                                
20.300000           111.616667          1.643604                                
21.900000           111.350000          1.651679                                
23.600000           111.066667          1.648550                                
25.200000           110.800000          1.666265                                
26.800000           110.533333          1.661773                                
28.400000           110.266667          1.669041                                
30.100000           109.983333          1.672423                                
31.700000           109.716667          1.679387                                
33.300000           109.450000          1.706440                                
34.900000           109.183333          1.693469                                
36.500000           108.916667          1.692459                                
38.100000           108.650000          1.697557                                
39.800000           108.366667          1.698112                                
41.400000           108.100000          1.706843                                
43.000000           107.833333          1.724609                                
44.600000           107.566667          1.719461                                
46.200000           107.300000          1.723095                                
47.900000           107.016667          1.723448                                
49.500000           106.750000          1.736268                                
51.100000           106.483333          1.739800                                
52.700000           106.216667          1.740709                                
54.400000           105.933333          1.740457                                
56.000000           105.666667          1.748179                                
57.600000           105.400000          1.749895                                
59.200000           105.133333          1.752721                                
60.900000           104.850000          1.776745                                
62.500000           104.583333          1.760493                                
64.200000           104.300000          1.767055                                
65.800000           104.033333          1.767357                                
67.400000           103.766667          1.773565                                
69.100000           103.483333          1.784820                                
70.800000           103.200000          1.790977                                
72.400000           102.933333          1.787041                                
74.100000           102.650000          1.787848                                
75.700000           102.383333          1.792693                                
77.400000           102.100000          1.798447                                
79.000000           101.833333          1.826862                                
80.700000           101.550000          1.809450                                
82.300000           101.283333          1.807683                                
83.900000           101.016667          1.810308                                
85.500000           100.750000          1.812276                                
87.100000           100.483333          1.821108                                
88.700000           100.216667          1.826862                                
90.400000           99.933333           1.827266                                
92.000000           99.666667           1.827114                                
93.600000           99.400000           1.830496                                
95.200000           99.133333           1.839782                                
96.800000           98.866667           1.855630                                
98.500000           98.583333           1.843971                                
100.100000          98.316667           1.846798                                
101.700000          98.050000           1.845586                                
103.300000          97.783333           1.849574                                
105.000000          97.500000           1.852955                                
106.600000          97.233333           1.876020                                
108.200000          96.966667           1.859415                                
109.800000          96.700000           1.857296                                
111.400000          96.433333           1.863554                                
113.000000          96.166667           1.865775                                
114.700000          95.883333           1.863554                                
116.300000          95.616667           1.873143                                
117.900000          95.350000           1.871478                                
119.500000          95.083333           1.876525                                
121.100000          94.816667           1.877585                                
122.800000          94.533333           1.878695                                
124.400000          94.266667           1.897722                                
126.000000          94.000000           1.886215                                
127.600000          93.733333           1.882682                                
129.200000          93.466667           1.882682                                
130.900000          93.183333           1.881925                                
132.500000          92.916667           1.888385                                
134.100000          92.650000           1.908927                                
135.700000          92.383333           1.890808                                
137.300000          92.116667           1.888941                                
139.000000          91.833333           1.893887                                
140.600000          91.566667           1.897218                                
142.200000          91.300000           1.904183                                
143.800000          91.033333           1.905798                                
145.500000          90.750000           1.891969                                
147.100000          90.483333           1.903728                                
148.700000          90.216667           1.896562                                
150.300000          89.950000           1.897268                                
152.000000          89.666667           1.924522                                
153.600000          89.400000           1.903678                                
155.300000          89.116667           1.901306                                
156.900000          88.850000           1.905142                                
158.500000          88.583333           1.906353                                
160.200000          88.300000           1.903981                                
161.800000          88.033333           1.912964                                
163.400000          87.766667           1.907009                                
