Profilerstellung eines Magnetfeldes
Datum: 2022_03_09

Version: v3.0-57-g98cd95b

Experiment Aufbau:
------------------
Versorgung Hall-Sensor von Keithley - 2450 Sourcemeter
Magnetfeld aus - U_Hall:     2.0301 mV
Versorgungsspannung:         5 V
Strom-Limit:                 200 mA

Eurotherm-Einstellung OP:    5.5 %

Gerät für die Messung:       KEITHLEY INSTRUMENTS,MODEL DAQ6510,04463273,1.0.04b
Ort der Messung:             Test-CZ
Startposition:               Höhe: 11.5 cm über Boden - Sensor rechts (von Mitte 5 cm) - CCW drehen
Geschwindigkeit Geradlinig:  0 mm/min
Geschwindigkeit Rotation:    0.1/min (1/10min)

Zeit [s]            Rotation [°]        Magnetische Flussdichte [mT]            
0.500000            0.300000            1.682792                                
7.000000            4.200000            1.688842                                
8.700000            5.220000            1.670691                                
10.400000           6.240000            1.671145                                
12.000000           7.200000            1.663430                                
13.700000           8.220000            1.662926                                
15.300000           9.180000            1.659800                                
16.900000           10.140000           1.657229                                
18.500000           11.100000           1.659145                                
20.200000           12.120000           1.657279                                
21.800000           13.080000           1.656019                                
23.400000           14.040000           1.658136                                
25.000000           15.000000           1.671951                                
26.700000           16.020000           1.656775                                
28.300000           16.980000           1.658994                                
29.900000           17.940000           1.663985                                
31.500000           18.900000           1.667867                                
33.100000           19.860000           1.665044                                
34.800000           20.880000           1.670842                                
36.400000           21.840000           1.670187                                
38.000000           22.800000           1.677044                                
39.600000           23.760000           1.680371                                
41.300000           24.780000           1.683699                                
42.900000           25.740000           1.683144                                
44.500000           26.700000           1.690859                                
46.100000           27.660000           1.704270                                
47.800000           28.680000           1.701900                                
49.400000           29.640000           1.704421                                
51.000000           30.600000           1.711178                                
52.700000           31.620000           1.722068                                
54.400000           32.640000           1.728371                                
56.100000           33.660000           1.728270                                
57.800000           34.680000           1.734623                                
59.400000           35.640000           1.742135                                
61.000000           36.600000           1.749849                                
62.700000           37.620000           1.756202                                
64.400000           38.640000           1.760135                                
66.100000           39.660000           1.766639                                
67.700000           40.620000           1.769210                                
69.300000           41.580000           1.779042                                
70.900000           42.540000           1.798151                                
72.600000           43.560000           1.796235                                
74.300000           44.580000           1.804000                                
75.900000           45.540000           1.817159                                
77.500000           46.500000           1.823966                                
79.200000           47.520000           1.822655                                
80.900000           48.540000           1.836823                                
82.500000           49.500000           1.850587                                
84.100000           50.460000           1.854520                                
85.700000           51.420000           1.863242                                
87.400000           52.440000           1.875393                                
89.000000           53.400000           1.900906                                
90.600000           54.360000           1.883360                                
92.200000           55.320000           1.894452                                
93.900000           56.340000           1.895158                                
95.500000           57.300000           1.907359                                
97.100000           58.260000           1.924401                                
98.700000           59.220000           1.929897                                
100.400000          60.240000           1.945073                                
102.000000          61.200000           1.933830                                
103.600000          62.160000           1.943913                                
105.200000          63.120000           1.958686                                
106.900000          64.140000           1.973358                                
108.500000          65.100000           1.972299                                
110.200000          66.120000           1.979762                                
111.800000          67.080000           1.992266                                
113.400000          68.040000           1.999375                                
115.100000          69.060000           1.997257                                
116.700000          70.020000           2.028366                                
118.300000          70.980000           2.015257                                
119.900000          71.940000           2.014652                                
121.600000          72.960000           2.036231                                
123.200000          73.920000           2.027912                                
124.800000          74.880000           2.051458                                
126.400000          75.840000           2.047626                                
128.100000          76.860000           2.066180                                
129.700000          77.820000           2.073088                                
131.400000          78.840000           2.068550                                
133.000000          79.800000           2.075659                                
134.600000          80.760000           2.084483                                
136.200000          81.720000           2.088314                                
137.900000          82.740000           2.092499                                
139.500000          83.700000           2.098499                                
141.200000          84.720000           2.100869                                
142.800000          85.680000           2.106213                                
144.400000          86.640000           2.115743                                
146.100000          87.660000           2.117255                                
147.700000          88.620000           2.112919                                
149.400000          89.640000           2.123104                                
151.000000          90.600000           2.123053                                
152.700000          91.620000           2.139188                                
154.300000          92.580000           2.135104                                
156.000000          93.600000           2.139893                                
157.600000          94.560000           2.149271                                
159.300000          95.580000           2.145994                                
160.900000          96.540000           2.151591                                
162.600000          97.560000           2.168985                                
164.200000          98.520000           2.170649                                
165.900000          99.540000           2.163439                                
167.500000          100.500000          2.161372                                
169.100000          101.460000          2.162078                                
170.800000          102.480000          2.176195                                
172.400000          103.440000          2.170700                                
174.100000          104.460000          2.177305                                
175.700000          105.420000          2.179775                                
177.300000          106.380000          2.178313                                
178.900000          107.340000          2.181439                                
180.600000          108.360000          2.198430                                
182.200000          109.320000          2.181943                                
183.900000          110.340000          2.177002                                
185.500000          111.300000          2.191422                                
187.200000          112.320000          2.186431                                
188.800000          113.280000          2.208464                                
190.500000          114.300000          2.183809                                
192.200000          115.320000          2.190968                                
193.800000          116.280000          2.189557                                
195.500000          117.300000          2.185473                                
197.100000          118.260000          2.188397                                
198.800000          119.280000          2.188901                                
200.400000          120.240000          2.195909                                
202.100000          121.260000          2.186935                                
203.700000          122.220000          2.182750                                
205.400000          123.240000          2.183305                                
207.000000          124.200000          2.187187                                
208.700000          125.220000          2.175137                                
210.400000          126.240000          2.187288                                
212.000000          127.200000          2.178313                                
213.700000          128.220000          2.175086                                
215.400000          129.240000          2.172565                                
217.000000          130.200000          2.181842                                
218.600000          131.160000          2.169843                                
220.300000          132.180000          2.166969                                
221.900000          133.140000          2.162633                                
223.600000          134.160000          2.158448                                
225.200000          135.120000          2.161624                                
226.800000          136.080000          2.154061                                
228.400000          137.040000          2.148566                                
230.100000          138.060000          2.147305                                
231.700000          139.020000          2.143776                                
233.400000          140.040000          2.133994                                
235.000000          141.000000          2.145944                                
236.600000          141.960000          2.134398                                
238.300000          142.980000          2.119524                                
239.900000          143.940000          2.122448                                
241.500000          144.900000          2.112969                                
243.100000          145.860000          2.113726                                
244.800000          146.880000          2.106970                                
246.400000          147.840000          2.110801                                
248.000000          148.800000          2.095222                                
249.600000          149.760000          2.092499                                
251.200000          150.720000          2.086600                                
252.900000          151.740000          2.102634                                
254.500000          152.700000          2.070668                                
256.100000          153.660000          2.083978                                
257.800000          154.680000          2.069054                                
259.400000          155.640000          2.069508                                
261.000000          156.600000          2.053021                                
262.700000          157.620000          2.060937                                
264.300000          158.580000          2.044298                                
266.000000          159.600000          2.036483                                
267.600000          160.560000          2.030887                                
269.300000          161.580000          2.021559                                
270.900000          162.540000          2.022467                                
272.500000          163.500000          2.011475                                
274.200000          164.520000          1.998114                                
275.800000          165.480000          2.000938                                
277.400000          166.440000          1.997106                                
279.000000          167.400000          1.980820                                
280.600000          168.360000          1.996249                                
282.200000          169.320000          1.976081                                
283.900000          170.340000          1.954300                                
285.500000          171.300000          1.958938                                
287.100000          172.260000          1.951527                                
288.700000          173.220000          1.943863                                
290.400000          174.240000          1.939729                                
292.000000          175.200000          1.938115                                
293.700000          176.220000          1.919964                                
295.300000          177.180000          1.909023                                
297.000000          178.200000          1.898082                                
298.600000          179.160000          1.904536                                
300.300000          180.180000          1.887746                                
301.900000          181.140000          1.878318                                
303.600000          182.160000          1.869494                                
305.200000          183.120000          1.862688                                
306.900000          184.140000          1.852755                                
308.500000          185.100000          1.844386                                
310.200000          186.120000          1.831730                                
311.800000          187.080000          1.822655                                
313.500000          188.100000          1.820588                                
315.100000          189.060000          1.810352                                
316.700000          190.020000          1.816151                                
318.400000          191.040000          1.789983                                
320.000000          192.000000          1.785143                                
321.600000          192.960000          1.779798                                
323.200000          193.920000          1.769462                                
324.900000          194.940000          1.763765                                
326.500000          195.900000          1.763664                                
328.200000          196.920000          1.760841                                
329.800000          197.880000          1.741984                                
331.500000          198.900000          1.732555                                
333.100000          199.860000          1.724186                                
334.700000          200.820000          1.731144                                
336.400000          201.840000          1.711077                                
338.000000          202.800000          1.709917                                
339.700000          203.820000          1.693279                                
341.300000          204.780000          1.689598                                
343.000000          205.800000          1.692018                                
344.600000          206.760000          1.684909                                
346.300000          207.780000          1.673716                                
347.900000          208.740000          1.670439                                
349.600000          209.760000          1.662220                                
351.200000          210.720000          1.654708                                
352.900000          211.740000          1.653800                                
354.500000          212.700000          1.641246                                
356.200000          213.720000          1.634944                                
357.800000          214.680000          1.632624                                
359.500000          215.700000          1.625162                                
361.100000          216.660000          1.618255                                
362.800000          217.680000          1.624961                                
364.400000          218.640000          1.615078                                
366.100000          219.660000          1.598843                                
367.700000          220.620000          1.597482                                
369.400000          221.640000          1.594205                                
371.100000          222.660000          1.593852                                
372.700000          223.620000          1.580642                                
374.400000          224.640000          1.581297                                
376.000000          225.600000          1.568844                                
377.700000          226.620000          1.570155                                
379.300000          227.580000          1.561382                                
381.000000          228.600000          1.566172                                
382.600000          229.560000          1.553012                                
384.300000          230.580000          1.554323                                
386.000000          231.600000          1.547315                                
387.600000          232.560000          1.544239                                
389.300000          233.580000          1.554626                                
390.900000          234.540000          1.535063                                
392.600000          235.560000          1.535214                                
394.200000          236.520000          1.533298                                
395.900000          237.540000          1.529164                                
397.500000          238.500000          1.522559                                
399.200000          239.520000          1.540811                                
400.900000          240.540000          1.527197                                
402.500000          241.500000          1.519786                                
404.200000          242.520000          1.517315                                
405.800000          243.480000          1.515198                                
407.500000          244.500000          1.526391                                
409.200000          245.520000          1.509803                                
410.800000          246.480000          1.508139                                
412.500000          247.500000          1.503702                                
414.100000          248.460000          1.509651                                
415.800000          249.480000          1.498559                                
417.400000          250.440000          1.520088                                
419.100000          251.460000          1.499618                                
420.800000          252.480000          1.498307                                
422.400000          253.440000          1.501534                                
424.100000          254.460000          1.498206                                
425.800000          255.480000          1.500526                                
427.400000          256.440000          1.498963                                
429.100000          257.460000          1.500727                                
430.800000          258.480000          1.507383                                
432.400000          259.440000          1.504660                                
434.100000          260.460000          1.498357                                
435.800000          261.480000          1.513382                                
437.400000          262.440000          1.500778                                
439.100000          263.460000          1.502996                                
440.700000          264.420000          1.496290                                
442.400000          265.440000          1.503198                                
444.000000          266.400000          1.502845                                
445.600000          267.360000          1.496391                                
447.300000          268.380000          1.501131                                
448.900000          269.340000          1.500677                                
450.500000          270.300000          1.500778                                
452.200000          271.320000          1.504962                                
453.800000          272.280000          1.515147                                
455.500000          273.300000          1.504559                                
457.100000          274.260000          1.506475                                
458.700000          275.220000          1.508391                                
460.300000          276.180000          1.508542                                
462.000000          277.200000          1.517567                                
463.600000          278.160000          1.515702                                
465.300000          279.180000          1.515500                                
466.900000          280.140000          1.516710                                
468.500000          281.100000          1.519029                                
470.200000          282.120000          1.518878                                
471.800000          283.080000          1.532340                                
473.400000          284.040000          1.532441                                
475.100000          285.060000          1.526139                                
476.700000          286.020000          1.536273                                
478.300000          286.980000          1.532693                                
480.000000          288.000000          1.536525                                
481.600000          288.960000          1.540659                                
483.200000          289.920000          1.545953                                
484.800000          290.880000          1.544441                                
486.400000          291.840000          1.552004                                
488.000000          292.800000          1.550693                                
489.700000          293.820000          1.567432                                
491.300000          294.780000          1.558104                                
493.000000          295.800000          1.565415                                
494.600000          296.760000          1.566071                                
496.300000          297.780000          1.571566                                
497.900000          298.740000          1.574945                                
499.500000          299.700000          1.586238                                
501.200000          300.720000          1.586138                                
502.900000          301.740000          1.584474                                
504.500000          302.700000          1.590776                                
506.100000          303.660000          1.592743                                
507.800000          304.680000          1.611902                                
509.400000          305.640000          1.601717                                
511.100000          306.660000          1.611347                                
512.700000          307.620000          1.616137                                
514.400000          308.640000          1.619767                                
516.000000          309.600000          1.617902                                
517.600000          310.560000          1.644977                                
519.300000          311.580000          1.638826                                
520.900000          312.540000          1.638826                                
522.600000          313.560000          1.636507                                
524.200000          314.520000          1.645229                                
525.800000          315.480000          1.660910                                
527.500000          316.500000          1.657884                                
529.100000          317.460000          1.661615                                
530.800000          318.480000          1.661414                                
532.400000          319.440000          1.667212                                
534.000000          320.400000          1.679565                                
535.700000          321.420000          1.697111                                
537.400000          322.440000          1.684002                                
539.000000          323.400000          1.693581                                
540.600000          324.360000          1.699985                                
542.300000          325.380000          1.700791                                
543.900000          326.340000          1.702606                                
545.600000          327.360000          1.707396                                
547.200000          328.320000          1.711278                                
548.900000          329.340000          1.712589                                
550.500000          330.300000          1.718388                                
552.200000          331.320000          1.721715                                
553.800000          332.280000          1.732505                                
555.500000          333.300000          1.737698                                
557.100000          334.260000          1.730690                                
558.700000          335.220000          1.735480                                
560.400000          336.240000          1.735833                                
562.000000          337.200000          1.750606                                
563.700000          338.220000          1.754185                                
565.300000          339.180000          1.752269                                
567.000000          340.200000          1.748589                                
568.600000          341.160000          1.754084                                
570.200000          342.120000          1.758068                                
571.800000          343.080000          1.769160                                
573.500000          344.100000          1.752622                                
575.100000          345.060000          1.750908                                
576.700000          346.020000          1.759076                                
578.300000          346.980000          1.753631                                
579.900000          347.940000          1.754488                                
581.600000          348.960000          1.754286                                
583.200000          349.920000          1.754387                                
584.900000          350.940000          1.747832                                
586.500000          351.900000          1.747782                                
588.200000          352.920000          1.739866                                
589.800000          353.880000          1.755597                                
591.400000          354.840000          1.735732                                
593.100000          355.860000          1.736589                                
594.700000          356.820000          1.727211                                
596.300000          357.780000          1.724337                                
598.000000          358.800000          1.718993                                
599.600000          359.760000          1.722976                                
601.200000          360.720000          1.716976                                
602.900000          361.740000          1.703312                                
604.500000          362.700000          1.703917                                
606.200000          363.720000          1.694741                                
607.800000          364.680000          1.693985                                
609.400000          365.640000          1.691413                                
611.000000          366.600000          1.680724                                
