Messungen der Hall-Spannung/ Magnetfeldmessungen

------------------------------------------------
Datum: 2022_03_04
Version: v3.0-52-g9982156-dirty

Folgende Geräte werden verwendet:
---------------------------------
Gerät 1: KEYSIGHT TECHNOLOGIES,DSOX1204G,CN61367122,02.11.2020062221
Gerät 2: KEITHLEY INSTRUMENTS,MODEL DAQ6510,04463273,1.0.04b

Experiment Informationen:
Spulendurchmesser: 20 mm
Spulenwindungen:   60 je Spule
Vorwiderstand:     10 Ohm

Versorgung Hall-Sensor von Keithley - 2450 Sourcemeter
Versorgungsspannung: 5 V
Strom-Limit:         200 mA

Voreinstellungen und Vormessung:
---------------------------
Start Amplitude:         12 V
Genutzte Funktion:       SIN
Keysight Channel (VRMS): 1
U_Hall_0:                2.3114 mV

Sollwert = 550.0 mV ± 1.0 mV --> Vpp Anpassung bei Abwweichung = 0.01 V
Messungen von 20000 Hz bis 20 Hz in -20 Hz Schritten

Frequenz [Hz]  Hall-Spannung [V]             Spannung (VRMS-AC) über R [V]      Amplitude Vpp (Gen_Out) [V]   
20000          0.007849                      0.5506                             +11.1500E+00                  
19980          0.0077927                     0.5506                             +11.1500E+00                  
19960          0.0077939                     0.5509                             +11.1300E+00                  
19940          0.007769                      0.5493                             +11.1200E+00                  
19920          0.0077705                     0.5492                             +11.1200E+00                  
19900          0.0077733                     0.5493                             +11.1200E+00                  
19880          0.0077793                     0.5499                             +11.1200E+00                  
19860          0.0077827                     0.5497                             +11.1200E+00                  
19840          0.0077883                     0.55                               +11.1200E+00                  
19820          0.00779                       0.5499                             +11.1200E+00                  
19800          0.0077935                     0.5504                             +11.1200E+00                  
19780          0.0077902                     0.5501                             +11.1200E+00                  
19760          0.0077971                     0.5504                             +11.1200E+00                  
19740          0.0078023                     0.5502                             +11.1200E+00                  
19720          0.0078041                     0.5508                             +11.1200E+00                  
19700          0.0078192                     0.5508                             +11.1200E+00                  
19680          0.0077982                     0.5496                             +11.0900E+00                  
19660          0.0077994                     0.5496                             +11.0900E+00                  
19640          0.0078017                     0.5499                             +11.0900E+00                  
19620          0.0078011                     0.5496                             +11.0900E+00                  
19600          0.007804                      0.55                               +11.0900E+00                  
19580          0.0078106                     0.5501                             +11.0900E+00                  
19560          0.0078191                     0.5502                             +11.0900E+00                  
19540          0.0078203                     0.5504                             +11.0900E+00                  
19520          0.0078191                     0.5509                             +11.0900E+00                  
19500          0.0078208                     0.5508                             +11.0900E+00                  
19480          0.0078264                     0.5506                             +11.0900E+00                  
19460          0.0078285                     0.5506                             +11.0900E+00                  
19440          0.0078124                     0.5494                             +11.0500E+00                  
19420          0.0078042                     0.5494                             +11.0500E+00                  
19400          0.0078176                     0.5495                             +11.0500E+00                  
19380          0.0078181                     0.5497                             +11.0500E+00                  
19360          0.00783                       0.5498                             +11.0500E+00                  
19340          0.0078247                     0.5501                             +11.0500E+00                  
19320          0.0078297                     0.5503                             +11.0500E+00                  
19300          0.007838                      0.5506                             +11.0500E+00                  
19280          0.007841                      0.5506                             +11.0500E+00                  
19260          0.0078393                     0.5509                             +11.0500E+00                  
19240          0.0078404                     0.5507                             +11.0500E+00                  
19220          0.0078247                     0.5493                             +11.0200E+00                  
19200          0.0078363                     0.5498                             +11.0200E+00                  
19180          0.0078417                     0.5497                             +11.0200E+00                  
19160          0.0078421                     0.55                               +11.0200E+00                  
19140          0.0078461                     0.5502                             +11.0200E+00                  
19120          0.0078482                     0.5504                             +11.0200E+00                  
19100          0.0078502                     0.5505                             +11.0200E+00                  
19080          0.0078535                     0.5502                             +11.0200E+00                  
19060          0.0078532                     0.5506                             +11.0200E+00                  
19040          0.0078589                     0.5508                             +11.0200E+00                  
19020          0.007866                      0.5507                             +11.0100E+00                  
19000          0.007859                      0.5506                             +11.0000E+00                  
18980          0.0078487                     0.5493                             +10.9900E+00                  
18960          0.0078463                     0.5495                             +10.9900E+00                  
18940          0.007853                      0.5496                             +10.9900E+00                  
18920          0.0078533                     0.5497                             +10.9900E+00                  
18900          0.0078583                     0.5501                             +10.9900E+00                  
18880          0.0078561                     0.5499                             +10.9900E+00                  
18860          0.0078609                     0.5503                             +10.9900E+00                  
18840          0.0078665                     0.5504                             +10.9900E+00                  
18820          0.0078749                     0.5506                             +10.9900E+00                  
18800          0.00787                       0.5509                             +10.9900E+00                  
18780          0.0078816                     0.5507                             +10.9900E+00                  
18760          0.0078806                     0.5507                             +10.9900E+00                  
18740          0.0078811                     0.5507                             +10.9900E+00                  
18720          0.0078851                     0.5506                             +10.9900E+00                  
18700          0.007869                      0.5495                             +10.9600E+00                  
18680          0.0078748                     0.55                               +10.9600E+00                  
18660          0.0078824                     0.5501                             +10.9600E+00                  
18640          0.0078838                     0.5501                             +10.9600E+00                  
18620          0.0078887                     0.5502                             +10.9600E+00                  
18600          0.0078877                     0.5503                             +10.9600E+00                  
18580          0.007893                      0.5507                             +10.9600E+00                  
18560          0.0078982                     0.5508                             +10.9600E+00                  
18540          0.0078938                     0.5508                             +10.9500E+00                  
18520          0.007895                      0.5508                             +10.9500E+00                  
18500          0.0078841                     0.5493                             +10.9200E+00                  
18480          0.0078914                     0.5496                             +10.9200E+00                  
18460          0.0078927                     0.5497                             +10.9200E+00                  
18440          0.00789                       0.5497                             +10.9200E+00                  
18420          0.0078951                     0.5498                             +10.9200E+00                  
18400          0.007902                      0.5501                             +10.9200E+00                  
18380          0.0079021                     0.5505                             +10.9200E+00                  
18360          0.0079033                     0.5505                             +10.9200E+00                  
18340          0.0079096                     0.5503                             +10.9200E+00                  
18320          0.007919                      0.5506                             +10.9200E+00                  
18300          0.0079228                     0.5507                             +10.9200E+00                  
18280          0.0079229                     0.5508                             +10.9100E+00                  
18260          0.007928                      0.5509                             +10.9000E+00                  
18240          0.007917                      0.5497                             +10.8900E+00                  
18220          0.0079094                     0.5495                             +10.8900E+00                  
18200          0.0079169                     0.5497                             +10.8900E+00                  
18180          0.0079139                     0.5498                             +10.8900E+00                  
18160          0.0079266                     0.5503                             +10.8900E+00                  
18140          0.0079265                     0.5503                             +10.8900E+00                  
18120          0.0079237                     0.5504                             +10.8900E+00                  
18100          0.0079314                     0.5507                             +10.8900E+00                  
18080          0.0079362                     0.5507                             +10.8900E+00                  
18060          0.0079283                     0.5509                             +10.8900E+00                  
18040          0.0079137                     0.5491                             +10.8600E+00                  
18020          0.0079163                     0.5492                             +10.8600E+00                  
18000          0.0079199                     0.5495                             +10.8600E+00                  
17980          0.0079325                     0.5495                             +10.8600E+00                  
17960          0.007932                      0.5497                             +10.8600E+00                  
17940          0.0079343                     0.5499                             +10.8600E+00                  
17920          0.0079438                     0.5499                             +10.8600E+00                  
17900          0.0079384                     0.5501                             +10.8600E+00                  
17880          0.0079382                     0.5506                             +10.8600E+00                  
17860          0.0079409                     0.5505                             +10.8600E+00                  
17840          0.0079449                     0.5506                             +10.8600E+00                  
17820          0.0079455                     0.5507                             +10.8600E+00                  
17800          0.0079603                     0.5508                             +10.8600E+00                  
17780          0.0079525                     0.5508                             +10.8600E+00                  
17760          0.0079648                     0.5509                             +10.8500E+00                  
17740          0.0079458                     0.5497                             +10.8200E+00                  
17720          0.0079442                     0.5498                             +10.8200E+00                  
17700          0.0079438                     0.5498                             +10.8200E+00                  
17680          0.0079491                     0.5501                             +10.8200E+00                  
17660          0.007945                      0.5503                             +10.8200E+00                  
17640          0.0079606                     0.5503                             +10.8200E+00                  
17620          0.0079632                     0.5504                             +10.8200E+00                  
17600          0.0079647                     0.5507                             +10.8200E+00                  
17580          0.0079677                     0.5507                             +10.8200E+00                  
17560          0.0079711                     0.5506                             +10.8200E+00                  
17540          0.0079735                     0.5509                             +10.8200E+00                  
17520          0.0079551                     0.5495                             +10.7900E+00                  
17500          0.0079528                     0.5493                             +10.7900E+00                  
17480          0.0079624                     0.5499                             +10.7900E+00                  
17460          0.0079619                     0.5499                             +10.7900E+00                  
17440          0.0079714                     0.5498                             +10.7900E+00                  
17420          0.0079687                     0.5498                             +10.7900E+00                  
17400          0.0079788                     0.55                               +10.7900E+00                  
17380          0.0079698                     0.5504                             +10.7900E+00                  
17360          0.0079762                     0.5501                             +10.7900E+00                  
17340          0.0079743                     0.5506                             +10.7900E+00                  
17320          0.0079813                     0.5506                             +10.7900E+00                  
17300          0.0079809                     0.5508                             +10.7900E+00                  
17280          0.0079938                     0.5509                             +10.7700E+00                  
17260          0.0079761                     0.5495                             +10.7600E+00                  
17240          0.0079809                     0.5498                             +10.7600E+00                  
17220          0.007984                      0.55                               +10.7600E+00                  
17200          0.0079806                     0.5502                             +10.7600E+00                  
17180          0.0079842                     0.55                               +10.7600E+00                  
17160          0.007988                      0.5502                             +10.7600E+00                  
17140          0.0079888                     0.5501                             +10.7600E+00                  
17120          0.0079967                     0.5504                             +10.7600E+00                  
17100          0.0080009                     0.5505                             +10.7600E+00                  
17080          0.0080065                     0.5509                             +10.7600E+00                  
17060          0.0080064                     0.5508                             +10.7600E+00                  
17040          0.0080069                     0.5508                             +10.7500E+00                  
17020          0.0080091                     0.5509                             +10.7400E+00                  
17000          0.0079992                     0.5495                             +10.7300E+00                  
16980          0.0079915                     0.5496                             +10.7300E+00                  
16960          0.007989                      0.5497                             +10.7300E+00                  
16940          0.0080074                     0.5497                             +10.7300E+00                  
16920          0.0080131                     0.5501                             +10.7300E+00                  
16900          0.0080102                     0.5498                             +10.7300E+00                  
16880          0.0080144                     0.5503                             +10.7300E+00                  
16860          0.0080141                     0.5504                             +10.7300E+00                  
16840          0.0080153                     0.5504                             +10.7300E+00                  
16820          0.0080164                     0.5508                             +10.7300E+00                  
16800          0.0080232                     0.5508                             +10.7300E+00                  
16780          0.0080316                     0.5508                             +10.7000E+00                  
16760          0.0080136                     0.5496                             +10.6900E+00                  
