Profilerstellung eines Magnetfeldes
Datum: 2022_03_10

Version: v4.0

Experiment Aufbau:
------------------
Versorgung Hall-Sensor von Keithley - 2450 Sourcemeter
Versorgungsspannung:         5 V
Strom-Limit:                 200 mA
Magnetfeld aus - U_Hall:     2.055 mV

Eurotherm-Einstellung OP:    5.5 %

Gerät für die Messung:       KEITHLEY INSTRUMENTS,MODEL DAQ6510,04463273,1.0.04b
Ort der Messung:             Test-CZ
Startposition:               Test - Höhe: 11.5 cm über Boden - Sensor rechts (von Mitte 5 cm) - CCW drehen
Geschwindigkeit Geradlinig:  0 mm/min
Geschwindigkeit Rotation:    1/min

abs. Zeit      rel. Zeit [s]       Hall-Spannung [V]             
15:58:16       0.5                 0.035695                      
15:58:18       7.0                 0.034918                      
15:58:20       8.7                 0.035257                      
15:58:22       10.4                0.036431                      
15:58:23       12.0                0.037810                      
15:58:25       13.7                0.039227                      
15:58:26       15.3                0.040856                      
15:58:28       16.9                0.042302                      
15:58:30       18.6                0.043287                      
15:58:31       20.2                0.044642                      
15:58:33       21.9                0.045040                      
15:58:35       23.5                0.045517                      
15:58:36       25.1                0.045729                      
15:58:38       26.8                0.045272                      
15:58:40       28.4                0.044534                      
15:58:41       30.1                0.043906                      
15:58:43       31.7                0.042449                      
15:58:45       33.4                0.040802                      
15:58:46       35.1                0.039167                      
15:58:48       36.7                0.037669                      
15:58:49       38.3                0.036336                      
15:58:51       39.9                0.034949                      
15:58:53       41.6                0.033775                      
15:58:54       43.2                0.032912                      
15:58:56       44.9                0.032314                      
15:58:58       46.5                0.031844                      
15:58:59       48.2                0.031932                      
15:59:01       49.8                0.031871                      
15:59:03       51.4                0.032286                      
15:59:04       53.1                0.032563                      
15:59:06       54.7                0.033473                      
15:59:08       56.4                0.034385                      
15:59:09       58.0                0.035291                      
15:59:11       59.7                0.036181                      
15:59:12       61.3                0.036865                      
15:59:14       63.0                0.036732                      
15:59:16       64.6                0.036058                      
15:59:17       66.3                0.035921                      
15:59:19       67.9                0.035564                      
