Messungen der Hall-Spannung/ Magnetfeldmessungen

Datum: 2022_03_02
Version: v3.0-48-g49011e1-dirty

Folgende Geräte werden verwendet:
Gerät 1: KEYSIGHT TECHNOLOGIES,DSOX1204G,CN61367122,02.11.2020062221
Gerät 2: KEITHLEY INSTRUMENTS,MODEL DAQ6510,04463273,1.0.04b

Experiment Informationen:Spulendurchmesser: 20 mm
Spulenwindungen:   60 je Spule
Vorwiderstand:     50 Ohm

Einstellungen:
Start Amplitude:         12 V
Genutzte Funktion:       SIN
Keysight Channel (VRMS): 1
Messungen von 20000 Hz bis 20 Hz in -20 Hz Schritten

Frequenz [Hz]  Hall-Spannung [V]             Spannung (VRMS-AC) über R [V]      Amplitude Vpp (Gen_Out) [V]   
20000          2.52128                       0.5921                             +12.0000E+00                  
19980          2.52127                       0.5922                             +12.0000E+00                  
19960          2.52122                       0.5926                             +12.0000E+00                  
19940          2.52128                       0.5926                             +12.0000E+00                  
19920          2.52126                       0.5927                             +12.0000E+00                  
19900          2.52128                       0.5933                             +12.0000E+00                  
19880          2.52128                       0.5932                             +12.0000E+00                  
19860          2.52135                       0.5937                             +12.0000E+00                  
19840          2.52121                       0.5935                             +12.0000E+00                  
19820          2.52137                       0.5937                             +12.0000E+00                  
19800          2.5213                        0.5938                             +12.0000E+00                  
19780          2.52125                       0.5937                             +12.0000E+00                  
19760          2.52122                       0.5938                             +12.0000E+00                  
19740          2.52131                       0.5941                             +12.0000E+00                  
19720          2.52126                       0.5942                             +12.0000E+00                  
19700          2.52124                       0.5945                             +12.0000E+00                  
19680          2.52121                       0.5945                             +12.0000E+00                  
19660          2.5213                        0.5948                             +12.0000E+00                  
19640          2.52134                       0.5951                             +12.0000E+00                  
19620          2.52129                       0.5948                             +12.0000E+00                  
19600          2.52133                       0.5953                             +12.0000E+00                  
19580          2.52122                       0.5952                             +12.0000E+00                  
19560          2.52121                       0.5956                             +12.0000E+00                  
19540          2.52121                       0.5957                             +12.0000E+00                  
19520          2.52132                       0.5958                             +12.0000E+00                  
19500          2.52129                       0.5957                             +12.0000E+00                  
19480          2.52126                       0.5964                             +12.0000E+00                  
19460          2.52117                       0.5961                             +12.0000E+00                  
19440          2.52128                       0.5961                             +12.0000E+00                  
19420          2.5212                        0.5965                             +12.0000E+00                  
19400          2.52118                       0.5968                             +12.0000E+00                  
