Profilerstellung eines Magnetfeldes
Datum: 2022_03_04

Version: v3.0-52-g9982156-dirty

Experiment Aufbau:
------------------
Versorgung Hall-Sensor von Keithley - 2450 Sourcemeter
Magnetfeld aus - U_Hall:     2.0043 mV
Versorgungsspannung:         5 V
Strom-Limit:                 200 mA

Gerät für die Messung:       KEITHLEY INSTRUMENTS,MODEL DAQ6510,04463273,1.0.04b
Ort der Messung:             Test-CZ
Startposition:               Mitte - 11.5 cm über Boden - Abwärts bis 3.5 cm
Geschwindigkeit Geradlinig:  10 mm/min
Geschwindigkeit Rotation:    0/min

abs. Zeit      rel. Zeit [s]       Hall-Spannung [V]             
14:00:56       0.5                 0.033625                      
14:00:57       7.0                 0.033730                      
14:00:59       8.7                 0.033785                      
14:01:01       10.4                0.034001                      
14:01:02       12.1                0.034044                      
14:01:04       13.8                0.034201                      
14:01:06       15.5                0.034572                      
14:01:08       17.1                0.034321                      
14:01:09       18.7                0.034443                      
14:01:11       20.3                0.034570                      
14:01:12       21.9                0.034730                      
14:01:14       23.6                0.034668                      
14:01:16       25.2                0.035019                      
14:01:17       26.8                0.034930                      
14:01:19       28.4                0.035074                      
14:01:20       30.1                0.035141                      
14:01:22       31.7                0.035279                      
14:01:24       33.3                0.035815                      
14:01:25       34.9                0.035558                      
14:01:27       36.5                0.035538                      
14:01:29       38.1                0.035639                      
14:01:30       39.8                0.035650                      
14:01:32       41.4                0.035823                      
14:01:33       43.0                0.036175                      
14:01:35       44.6                0.036073                      
14:01:37       46.2                0.036145                      
14:01:38       47.9                0.036152                      
14:01:40       49.5                0.036406                      
14:01:42       51.1                0.036476                      
14:01:43       52.7                0.036494                      
14:01:45       54.4                0.036489                      
14:01:46       56.0                0.036642                      
14:01:48       57.6                0.036676                      
14:01:50       59.2                0.036732                      
14:01:51       60.9                0.037208                      
14:01:53       62.5                0.036886                      
14:01:55       64.2                0.037016                      
14:01:56       65.8                0.037022                      
14:01:58       67.4                0.037145                      
14:02:00       69.1                0.037368                      
14:02:01       70.8                0.037490                      
14:02:03       72.4                0.037412                      
14:02:05       74.1                0.037428                      
14:02:06       75.7                0.037524                      
14:02:08       77.4                0.037638                      
14:02:09       79.0                0.038201                      
14:02:11       80.7                0.037856                      
14:02:13       82.3                0.037821                      
14:02:14       83.9                0.037873                      
14:02:16       85.5                0.037912                      
14:02:18       87.1                0.038087                      
14:02:19       88.7                0.038201                      
14:02:21       90.4                0.038209                      
14:02:22       92.0                0.038206                      
14:02:24       93.6                0.038273                      
14:02:26       95.2                0.038457                      
14:02:27       96.8                0.038771                      
14:02:29       98.5                0.038540                      
14:02:31       100.1               0.038596                      
14:02:32       101.7               0.038572                      
14:02:34       103.3               0.038651                      
14:02:35       105.0               0.038718                      
14:02:37       106.6               0.039175                      
14:02:39       108.2               0.038846                      
14:02:40       109.8               0.038804                      
14:02:42       111.4               0.038928                      
14:02:43       113.0               0.038972                      
14:02:45       114.7               0.038928                      
14:02:47       116.3               0.039118                      
14:02:48       117.9               0.039085                      
14:02:50       119.5               0.039185                      
14:02:52       121.1               0.039206                      
14:02:53       122.8               0.039228                      
14:02:55       124.4               0.039605                      
14:02:56       126.0               0.039377                      
14:02:58       127.6               0.039307                      
14:03:00       129.2               0.039307                      
14:03:01       130.9               0.039292                      
14:03:03       132.5               0.039420                      
14:03:05       134.1               0.039827                      
14:03:06       135.7               0.039468                      
14:03:08       137.3               0.039431                      
14:03:09       139.0               0.039529                      
14:03:11       140.6               0.039595                      
14:03:13       142.2               0.039733                      
14:03:14       143.8               0.039765                      
14:03:16       145.5               0.039491                      
14:03:18       147.1               0.039724                      
14:03:19       148.7               0.039582                      
14:03:21       150.3               0.039596                      
14:03:22       152.0               0.040136                      
14:03:24       153.6               0.039723                      
14:03:26       155.3               0.039676                      
14:03:27       156.9               0.039752                      
14:03:29       158.5               0.039776                      
14:03:31       160.2               0.039729                      
14:03:32       161.8               0.039907                      
14:03:34       163.4               0.039789                      
14:03:35       165.0               0.039875                      
14:03:37       166.7               0.039788                      
14:03:39       168.3               0.039763                      
14:03:40       170.0               0.040296                      
14:03:42       171.6               0.039779                      
14:03:44       173.2               0.039763                      
14:03:45       174.9               0.039886                      
14:03:47       176.5               0.039884                      
14:03:49       178.1               0.039768                      
14:03:50       179.8               0.040140                      
14:03:52       181.4               0.039815                      
14:03:53       183.0               0.039786                      
14:03:55       184.6               0.039855                      
14:03:57       186.2               0.039812                      
14:03:58       187.9               0.040147                      
14:04:00       189.5               0.039896                      
14:04:02       191.1               0.039763                      
14:04:03       192.7               0.039685                      
14:04:05       194.3               0.039708                      
14:04:06       196.0               0.039660                      
14:04:08       197.7               0.040088                      
14:04:10       199.3               0.039742                      
14:04:11       200.9               0.039542                      
14:04:13       202.6               0.039617                      
14:04:15       204.2               0.039525                      
14:04:16       205.9               0.039559                      
14:04:18       207.5               0.039560                      
14:04:20       209.2               0.039518                      
14:04:21       210.8               0.039490                      
14:04:23       212.5               0.039377                      
14:04:25       214.1               0.039354                      
14:04:26       215.7               0.039709                      
14:04:28       217.3               0.039407                      
14:04:29       218.9               0.039233                      
14:04:31       220.5               0.039230                      
14:04:33       222.1               0.039191                      
14:04:34       223.8               0.039123                      
14:04:36       225.4               0.039353                      
14:04:37       227.0               0.039072                      
14:04:39       228.6               0.039008                      
14:04:41       230.2               0.038928                      
14:04:42       231.8               0.038984                      
14:04:44       233.4               0.039084                      
14:04:45       235.1               0.038992                      
14:04:47       236.7               0.038860                      
14:04:49       238.3               0.038739                      
14:04:50       240.0               0.038594                      
14:04:52       241.6               0.038701                      
14:04:54       243.2               0.039167                      
14:04:55       244.8               0.038577                      
14:04:57       246.5               0.038445                      
14:04:59       248.1               0.038432                      
14:05:00       249.7               0.038284                      
14:05:02       251.3               0.038191                      
14:05:03       253.0               0.038298                      
14:05:05       254.6               0.038136                      
14:05:07       256.2               0.038067                      
14:05:08       257.9               0.038030                      
14:05:10       259.5               0.037981                      
14:05:12       261.1               0.038250                      
14:05:13       262.7               0.037813                      
14:05:15       264.4               0.037668                      
14:05:16       266.0               0.037646                      
14:05:18       267.6               0.037455                      
14:05:20       269.2               0.037493                      
14:05:21       270.8               0.037641                      
14:05:23       272.5               0.037256                      
14:05:25       274.1               0.037312                      
14:05:26       275.7               0.037258                      
14:05:28       277.3               0.037096                      
14:05:29       279.0               0.037246                      
14:05:31       280.6               0.036995                      
14:05:33       282.2               0.036901                      
14:05:34       283.8               0.036616                      
14:05:36       285.4               0.036636                      
14:05:37       287.0               0.036537                      
14:05:39       288.6               0.036990                      
14:05:41       290.3               0.036427                      
14:05:42       291.9               0.036278                      
14:05:44       293.5               0.036125                      
14:05:46       295.2               0.036091                      
14:05:47       296.8               0.036120                      
14:05:49       298.4               0.036041                      
14:05:50       300.0               0.035919                      
14:05:52       301.7               0.035673                      
14:05:54       303.3               0.035661                      
14:05:55       304.9               0.035521                      
14:05:57       306.5               0.035856                      
14:05:59       308.1               0.035517                      
14:06:00       309.8               0.035229                      
14:06:02       311.4               0.035124                      
14:06:03       313.0               0.034978                      
14:06:05       314.6               0.034998                      
14:06:07       316.2               0.035123                      
14:06:08       317.9               0.034796                      
14:06:10       319.5               0.034572                      
14:06:12       321.2               0.034439                      
14:06:13       322.8               0.034292                      
14:06:15       324.4               0.034379                      
14:06:16       326.0               0.034248                      
14:06:18       327.7               0.034085                      
14:06:20       329.3               0.033835                      
14:06:21       330.9               0.033738                      
14:06:23       332.5               0.033613                      
14:06:25       334.2               0.033944                      
14:06:26       335.8               0.033434                      
14:06:28       337.4               0.033284                      
14:06:29       339.0               0.033269                      
14:06:31       340.6               0.033159                      
14:06:33       342.3               0.033039                      
14:06:34       343.9               0.033198                      
14:06:36       345.5               0.032844                      
14:06:38       347.1               0.032646                      
14:06:39       348.7               0.032455                      
14:06:41       350.4               0.032284                      
14:06:42       352.0               0.032533                      
14:06:44       353.6               0.032196                      
14:06:46       355.2               0.031946                      
14:06:47       356.9               0.031853                      
14:06:49       358.5               0.031717                      
14:06:51       360.2               0.031572                      
14:06:52       361.8               0.031821                      
14:06:54       363.4               0.031363                      
14:06:56       365.1               0.031141                      
14:06:57       366.7               0.031042                      
14:06:59       368.4               0.030915                      
14:07:00       370.0               0.031035                      
14:07:02       371.6               0.030704                      
14:07:04       373.3               0.030557                      
14:07:05       374.9               0.030438                      
14:07:07       376.6               0.030227                      
14:07:09       378.2               0.030162                      
14:07:10       379.9               0.030334                      
14:07:12       381.5               0.029883                      
14:07:14       383.2               0.029700                      
14:07:15       384.8               0.029650                      
14:07:17       386.5               0.029420                      
14:07:19       388.1               0.029320                      
14:07:20       389.8               0.029141                      
14:07:22       391.4               0.028947                      
14:07:24       393.1               0.028836                      
14:07:25       394.7               0.028738                      
14:07:27       396.4               0.028658                      
14:07:28       398.0               0.028677                      
14:07:30       399.7               0.028297                      
14:07:32       401.4               0.028192                      
14:07:33       403.0               0.027971                      
14:07:35       404.6               0.027790                      
14:07:37       406.3               0.027760                      
14:07:38       408.0               0.027597                      
14:07:40       409.6               0.027375                      
14:07:42       411.3               0.027274                      
14:07:43       412.9               0.027095                      
14:07:45       414.6               0.026983                      
14:07:47       416.3               0.027158                      
14:07:48       417.9               0.026716                      
14:07:50       419.6               0.026487                      
14:07:52       421.2               0.026311                      
14:07:53       422.9               0.026217                      
14:07:55       424.6               0.026107                      
14:07:57       426.2               0.025953                      
14:07:58       427.9               0.025735                      
14:08:00       429.5               0.025628                      
14:08:02       431.2               0.025465                      
14:08:03       432.9               0.025286                      
14:08:05       434.5               0.025439                      
14:08:07       436.2               0.025025                      
14:08:08       437.9               0.024821                      
14:08:10       439.5               0.024695                      
14:08:12       441.2               0.024500                      
14:08:13       442.8               0.024327                      
14:08:15       444.5               0.024263                      
14:08:17       446.1               0.024117                      
14:08:18       447.7               0.023866                      
14:08:20       449.4               0.023731                      
14:08:21       451.0               0.023666                      
14:08:23       452.7               0.023822                      
14:08:25       454.3               0.023380                      
14:08:26       456.0               0.023169                      
14:08:28       457.6               0.023030                      
14:08:30       459.2               0.022898                      
14:08:31       460.9               0.022782                      
14:08:33       462.5               0.022723                      
14:08:34       464.1               0.022448                      
14:08:36       465.7               0.022261                      
14:08:38       467.3               0.022127                      
14:08:39       468.9               0.021978                      
14:08:41       470.6               0.022052                      
14:08:43       472.2               0.021633                      
14:08:44       473.8               0.021561                      
14:08:46       475.4               0.021393                      
14:08:47       477.0               0.021198                      
14:08:49       478.6               0.021056                      
14:08:51       480.3               0.021187                      
14:08:52       481.9               0.020682                      
14:08:54       483.5               0.020567                      
14:08:56       485.1               0.020451                      
14:08:57       486.8               0.020256                      
14:08:59       488.4               0.020258                      
