Profilerstellung eines Magnetfeldes
Datum: 2022_03_04

Version: v3.0-52-g9982156-dirty

Experiment Aufbau:
------------------
Versorgung Hall-Sensor von Keithley - 2450 Sourcemeter
Magnetfeld aus - U_Hall:     2.0043 mV
Versorgungsspannung:         5 V
Strom-Limit:                 200 mA

Gerät für die Messung:       KEITHLEY INSTRUMENTS,MODEL DAQ6510,04463273,1.0.04b
Ort der Messung:             Test-CZ
Startposition:               Mitte - 3.5 cm über Boden - Aufwärts bis 11.5 cm
Geschwindigkeit Geradlinig:  10 mm/min
Geschwindigkeit Rotation:    0/min

abs. Zeit      rel. Zeit [s]       Hall-Spannung [V]             
14:13:52       0.5                 0.020279                      
14:13:54       7.0                 0.020415                      
14:13:56       8.7                 0.020502                      
14:13:58       10.4                0.020647                      
14:13:59       12.0                0.020825                      
14:14:01       13.7                0.021029                      
14:14:03       15.3                0.021179                      
14:14:04       16.9                0.021244                      
14:14:06       18.6                0.021427                      
14:14:07       20.2                0.021595                      
14:14:09       21.8                0.021938                      
14:14:11       23.4                0.021854                      
14:14:12       25.1                0.022061                      
14:14:14       26.7                0.022200                      
14:14:16       28.3                0.022334                      
14:14:17       30.0                0.022455                      
14:14:19       31.6                0.022931                      
14:14:20       33.2                0.022819                      
14:14:22       34.8                0.022932                      
14:14:24       36.5                0.023014                      
14:14:25       38.1                0.023235                      
14:14:27       39.7                0.023357                      
14:14:29       41.3                0.023673                      
14:14:30       43.0                0.023662                      
14:14:32       44.6                0.023824                      
14:14:33       46.2                0.023988                      
14:14:35       47.8                0.024199                      
14:14:37       49.5                0.024623                      
14:14:38       51.1                0.024545                      
14:14:40       52.7                0.024599                      
14:14:42       54.3                0.024648                      
14:14:43       56.0                0.024889                      
14:14:45       57.6                0.025079                      
14:14:46       59.3                0.025262                      
14:14:48       60.9                0.025423                      
14:14:50       62.5                0.025554                      
14:14:51       64.2                0.025630                      
14:14:53       65.8                0.025729                      
14:14:55       67.4                0.026187                      
14:14:56       69.0                0.026087                      
14:14:58       70.6                0.026251                      
14:14:59       72.3                0.026409                      
14:15:01       73.9                0.026515                      
14:15:03       75.5                0.026633                      
14:15:04       77.1                0.027126                      
14:15:06       78.8                0.026874                      
14:15:08       80.4                0.027106                      
14:15:09       82.0                0.027237                      
14:15:11       83.6                0.027426                      
14:15:12       85.2                0.027534                      
14:15:14       86.8                0.027637                      
14:15:16       88.5                0.027784                      
14:15:17       90.1                0.027971                      
14:15:19       91.7                0.028171                      
14:15:21       93.3                0.028175                      
14:15:22       94.9                0.028709                      
14:15:24       96.6                0.028641                      
14:15:25       98.2                0.028685                      
14:15:27       99.8                0.028815                      
14:15:29       101.4               0.028985                      
14:15:30       103.0               0.029152                      
14:15:32       104.7               0.029510                      
14:15:33       106.3               0.029398                      
14:15:35       107.9               0.029518                      
14:15:37       109.5               0.029581                      
14:15:38       111.2               0.029762                      
14:15:40       112.7               0.030122                      
14:15:42       114.4               0.030180                      
14:15:43       116.0               0.030193                      
14:15:45       117.6               0.030342                      
14:15:46       119.3               0.030491                      
14:15:48       120.9               0.030676                      
14:15:50       122.5               0.031025                      
14:15:51       124.1               0.030889                      
14:15:53       125.8               0.031003                      
14:15:55       127.4               0.031155                      
14:15:56       129.1               0.031264                      
14:15:58       130.8               0.031413                      
14:16:00       132.4               0.031626                      
14:16:01       134.1               0.031693                      
14:16:03       135.7               0.031795                      
14:16:05       137.4               0.031959                      
14:16:06       139.1               0.032176                      
14:16:08       140.7               0.032694                      
14:16:10       142.4               0.032336                      
14:16:11       144.0               0.032413                      
14:16:13       145.7               0.032651                      
14:16:15       147.3               0.032665                      
14:16:16       149.0               0.033004                      
14:16:18       150.6               0.033075                      
14:16:19       152.3               0.033075                      
14:16:21       153.9               0.033184                      
14:16:23       155.6               0.033343                      
14:16:24       157.3               0.033387                      
14:16:26       158.9               0.034057                      
14:16:28       160.5               0.033743                      
14:16:29       162.2               0.033803                      
14:16:31       163.9               0.033965                      
14:16:33       165.5               0.033951                      
14:16:34       167.1               0.034185                      
14:16:36       168.7               0.034371                      
14:16:38       170.4               0.034405                      
14:16:39       172.0               0.034505                      
14:16:41       173.7               0.034552                      
14:16:43       175.3               0.034665                      
14:16:44       176.9               0.035242                      
14:16:46       178.6               0.034991                      
14:16:47       180.2               0.035083                      
14:16:49       181.9               0.035136                      
14:16:51       183.6               0.035337                      
14:16:53       185.3               0.035552                      
14:16:54       187.1               0.035587                      
14:16:56       188.7               0.035569                      
14:16:58       190.4               0.035774                      
14:16:59       192.0               0.035793                      
14:17:01       193.7               0.035873                      
14:17:03       195.4               0.036445                      
14:17:04       197.0               0.036074                      
14:17:06       198.7               0.036191                      
14:17:08       200.3               0.036319                      
14:17:09       202.0               0.036398                      
14:17:11       203.7               0.036376                      
14:17:13       205.4               0.036668                      
14:17:14       207.0               0.036598                      
14:17:16       208.7               0.036782                      
14:17:18       210.3               0.036866                      
14:17:19       212.0               0.036921                      
14:17:21       213.6               0.037422                      
14:17:22       215.3               0.037167                      
14:17:24       216.9               0.036990                      
14:17:26       218.6               0.037220                      
14:17:27       220.2               0.037346                      
14:17:29       221.8               0.037343                      
14:17:31       223.4               0.037536                      
14:17:32       225.0               0.037574                      
14:17:34       226.6               0.037689                      
14:17:35       228.2               0.037806                      
14:17:37       229.8               0.037736                      
14:17:39       231.4               0.038042                      
14:17:40       233.0               0.037972                      
14:17:42       234.6               0.037960                      
14:17:43       236.3               0.038011                      
14:17:45       237.9               0.038215                      
14:17:47       239.5               0.038233                      
14:17:48       241.1               0.038914                      
14:17:50       242.8               0.038323                      
14:17:52       244.4               0.038320                      
14:17:53       246.0               0.038363                      
14:17:55       247.6               0.038516                      
14:17:56       249.2               0.038671                      
14:17:58       250.9               0.038648                      
14:18:00       252.5               0.038660                      
14:18:01       254.1               0.038799                      
14:18:03       255.7               0.038789                      
14:18:05       257.3               0.038790                      
14:18:06       259.0               0.039291                      
14:18:08       260.6               0.039000                      
14:18:09       262.2               0.039062                      
14:18:11       263.8               0.039129                      
14:18:13       265.4               0.039140                      
14:18:14       267.0               0.039261                      
14:18:16       268.7               0.039251                      
14:18:17       270.3               0.039449                      
14:18:19       271.9               0.039332                      
14:18:21       273.5               0.039334                      
14:18:22       275.1               0.039219                      
14:18:24       276.8               0.039697                      
14:18:26       278.4               0.039377                      
14:18:27       280.0               0.039398                      
14:18:29       281.6               0.039547                      
14:18:30       283.2               0.039355                      
14:18:32       284.9               0.039492                      
14:18:34       286.5               0.040183                      
14:18:35       288.1               0.039644                      
14:18:37       289.7               0.039830                      
14:18:39       291.3               0.039843                      
14:18:40       293.0               0.039853                      
14:18:42       294.6               0.039627                      
14:18:43       296.2               0.039913                      
14:18:45       297.8               0.039701                      
14:18:47       299.5               0.039706                      
14:18:48       301.1               0.039807                      
14:18:50       302.7               0.039733                      
14:18:52       304.3               0.040133                      
14:18:53       305.9               0.039794                      
14:18:55       307.6               0.039883                      
14:18:56       309.2               0.039881                      
14:18:58       310.8               0.039929                      
14:19:00       312.4               0.039864                      
14:19:01       314.0               0.040412                      
14:19:03       315.6               0.040085                      
14:19:04       317.3               0.039881                      
14:19:06       318.9               0.039772                      
14:19:08       320.5               0.039987                      
14:19:09       322.1               0.040012                      
14:19:11       323.8               0.040095                      
14:19:13       325.4               0.040091                      
14:19:14       327.0               0.039938                      
14:19:16       328.6               0.040031                      
14:19:17       330.2               0.039925                      
14:19:19       331.8               0.040328                      
14:19:21       333.5               0.040100                      
14:19:22       335.1               0.039849                      
14:19:24       336.7               0.039943                      
14:19:26       338.3               0.039853                      
