Profilerstellung eines Magnetfeldes
Datum: 2022_03_04

Version: v3.0-52-g9982156-dirty

Experiment Aufbau:
------------------
Versorgung Hall-Sensor von Keithley - 2450 Sourcemeter
Magnetfeld aus - U_Hall:     2.0043 mV
Versorgungsspannung:         5 V
Strom-Limit:                 200 mA

Gerät für die Messung:       KEITHLEY INSTRUMENTS,MODEL DAQ6510,04463273,1.0.04b
Ort der Messung:             Test-CZ
Startposition:               Mitte - 3.5 cm über Boden - Aufwärts bis 11.5 cm
Geschwindigkeit Geradlinig:  10 mm/min
Geschwindigkeit Rotation:    0/min

Zeit [s]            Weg [mm]            Magnetische Flussdichte [mT]            
0.500000            114.916667          0.922331                                
7.000000            113.833333          0.929195                                
8.700000            113.550000          0.933586                                
10.400000           113.266667          0.940905                                
12.000000           113.000000          0.949888                                
13.700000           112.716667          0.960184                                
15.300000           112.450000          0.967755                                
16.900000           112.183333          0.971035                                
18.600000           111.900000          0.980271                                
20.200000           111.633333          0.988750                                
21.800000           111.366667          1.006062                                
23.400000           111.100000          1.001822                                
25.100000           110.816667          1.012270                                
26.700000           110.550000          1.019285                                
28.300000           110.283333          1.026048                                
30.000000           110.000000          1.032155                                
31.600000           109.733333          1.056179                                
33.200000           109.466667          1.050526                                
34.800000           109.200000          1.056229                                
36.500000           108.916667          1.060368                                
38.100000           108.650000          1.071522                                
39.700000           108.383333          1.077679                                
41.300000           108.116667          1.093628                                
43.000000           107.833333          1.093073                                
44.600000           107.566667          1.101249                                
46.200000           107.300000          1.109526                                
47.800000           107.033333          1.120175                                
49.500000           106.750000          1.141575                                
51.100000           106.483333          1.137638                                
52.700000           106.216667          1.140364                                
54.300000           105.950000          1.142837                                
56.000000           105.666667          1.155000                                
57.600000           105.400000          1.164589                                
59.300000           105.116667          1.173825                                
60.900000           104.850000          1.181951                                
62.500000           104.583333          1.188563                                
64.200000           104.300000          1.192399                                
65.800000           104.033333          1.197395                                
67.400000           103.766667          1.220511                                
69.000000           103.500000          1.215464                                
70.600000           103.233333          1.223741                                
72.300000           102.950000          1.231715                                
73.900000           102.683333          1.237065                                
75.500000           102.416667          1.243020                                
77.100000           102.150000          1.267902                                
78.800000           101.866667          1.255184                                
80.400000           101.600000          1.266893                                
82.000000           101.333333          1.273504                                
83.600000           101.066667          1.283043                                
85.200000           100.800000          1.288494                                
86.800000           100.533333          1.293693                                
88.500000           100.250000          1.301112                                
90.100000           99.983333           1.310550                                
91.700000           99.716667           1.320644                                
93.300000           99.450000           1.320846                                
94.900000           99.183333           1.347797                                
96.600000           98.900000           1.344365                                
98.200000           98.633333           1.346586                                
99.800000           98.366667           1.353147                                
101.400000          98.100000           1.361727                                
103.000000          97.833333           1.370155                                
104.700000          97.550000           1.388224                                
106.300000          97.283333           1.382571                                
107.900000          97.016667           1.388627                                
109.500000          96.750000           1.391807                                
111.200000          96.466667           1.400942                                
112.700000          96.216667           1.419112                                
114.400000          95.933333           1.422039                                
116.000000          95.666667           1.422695                                
